Rk,Player,Tm,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,1D,Y/G,Sk
1,Tom Brady,TAM,44,17,17,485,719,67.5,5316,43,12,269,312.7,22
2,Justin Herbert,LAC,23,17,17,443,672,65.9,5014,38,15,256,294.9,31
3,Matthew Stafford,LAR,33,17,17,404,601,67.2,4886,41,17,233,287.4,30
4,Patrick Mahomes,KAN,26,17,17,436,658,66.3,4839,37,13,260,284.6,28
5,Derek Carr,LVR,30,17,17,428,626,68.4,4804,23,14,217,282.6,40
6,Joe Burrow,CIN,25,16,16,366,520,70.4,4611,34,14,202,288.2,51
7,Dak Prescott,DAL,28,16,16,410,596,68.8,4449,37,10,227,278.1,30
8,Josh Allen,BUF,25,17,17,409,646,63.3,4407,36,15,234,259.2,26
9,Kirk Cousins,MIN,33,16,16,372,561,66.3,4221,33,7,192,263.8,28
10,Aaron Rodgers,GNB,38,16,16,366,531,68.9,4115,37,4,213,257.2,30
11,Matt Ryan,ATL,36,17,17,375,560,67,3968,20,12,195,233.4,40
12,Jimmy Garoppolo,SFO,30,15,15,301,441,68.3,3810,20,12,172,254,29
13,Mac Jones,NWE,23,17,17,352,521,67.6,3801,22,13,177,223.6,28
14,Kyler Murray,ARI,24,14,14,333,481,69.2,3787,24,10,172,270.5,31
15,Ben Roethlisberger,PIT,39,16,16,390,605,64.5,3740,22,10,188,233.8,38
16,Ryan Tannehill,TEN,33,17,17,357,531,67.2,3734,21,14,192,219.6,47
17,Trevor Lawrence,JAX,22,17,17,359,602,59.6,3641,12,17,177,214.2,32
18,Carson Wentz,IND,29,17,17,322,516,62.4,3563,27,7,165,209.6,32
19,Taylor Heinicke,WAS,28,16,15,321,494,65,3419,20,15,167,213.7,38
20,Jared Goff,DET,27,14,14,332,494,67.2,3245,19,8,162,231.8,35
21,Jalen Hurts,PHI,23,15,15,265,432,61.3,3144,16,9,143,209.6,26
22,Russell Wilson,SEA,33,14,14,259,400,64.8,3113,25,6,135,222.4,33
23,Teddy Bridgewater,DEN,29,14,14,285,426,66.9,3052,18,7,146,218,31
24,Baker Mayfield,CLE,26,14,14,253,418,60.5,3010,17,13,143,215,43
25,Lamar Jackson,BAL,24,12,12,246,382,64.4,2882,16,13,135,240.2,38
26,Davis Mills,HOU,23,13,11,263,394,66.8,2664,16,10,118,204.9,31
27,Tua Tagovailoa,MIA,23,13,12,263,388,67.8,2653,16,10,137,204.1,20
28,Sam Darnold,CAR,24,12,11,243,406,59.9,2527,9,13,123,210.6,35
29,Daniel Jones,NYG,24,11,11,232,361,64.3,2428,10,7,116,220.7,22
30,Zach Wilson,NYJ,22,13,13,213,383,55.6,2334,9,11,112,179.5,44
31,Justin Fields,CHI,22,12,10,159,270,58.9,1870,7,10,83,155.8,36
32,Andy Dalton,CHI,34,8,6,149,236,63.1,1515,8,9,83,189.4,18
33,Jacoby Brissett,MIA,29,11,5,141,225,62.7,1283,5,4,69,116.6,19
34,Jameis Winston,NOR,27,7,7,95,161,59,1170,14,3,56,167.1,11
35,Trevor Siemian,NOR,30,6,4,108,188,57.4,1154,11,3,61,192.3,9
36,Tyler Huntley,BAL,23,7,4,122,188,64.9,1081,3,4,55,154.4,18
37,Taysom Hill,NOR,31,12,9,78,134,58.2,978,4,5,43,81.5,9
38,Tyrod Taylor,HOU,32,6,6,91,150,60.7,966,5,5,44,161,13
39,Mike White,NYJ,26,4,3,88,132,66.7,953,5,8,49,238.3,4
40,Mike Glennon,NYG,32,6,4,90,167,53.9,790,4,10,43,131.7,9
41,Drew Lock,DEN,25,6,3,67,111,60.4,787,2,2,32,131.2,9
42,Colt McCoy,ARI,35,8,3,74,99,74.7,740,3,1,39,92.5,6
43,Geno Smith,SEA,31,4,3,65,95,68.4,702,5,1,31,175.5,13
44,Cam Newton,CAR,32,8,5,69,126,54.8,684,4,5,32,85.5,10
45,Josh Johnson,2TM,35,4,1,57,85,67.1,638,5,2,39,159.5,3
46,Trey Lance,SFO,21,6,2,41,71,57.7,603,5,2,27,100.5,4
47,Tim Boyle,DET,27,5,3,61,94,64.9,526,3,6,28,105.2,0
48,Case Keenum,CLE,33,7,2,47,72,65.3,462,3,1,25,66,5
49,Gardner Minshew II,PHI,25,4,2,41,60,68.3,439,4,1,24,109.8,5
