Rk,Player,Tm,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,1D,Y/G,Sk
1,Ben Roethlisberger,PIT,36,16,16,452,675,67,5129,34,16,248,320.6,24
2,Patrick Mahomes,KAN,23,16,16,383,580,66,5097,50,12,262,318.6,26
3,Matt Ryan,ATL,33,16,16,422,608,69.4,4924,35,7,236,307.8,42
4,Jared Goff,LAR,24,16,16,364,561,64.9,4688,32,12,268,293.0,33
5,Andrew Luck,IND,29,16,16,430,639,67.3,4593,39,15,260,287.1,18
6,Aaron Rodgers,GNB,35,16,16,372,597,62.3,4442,25,2,200,277.6,49
7,Tom Brady,NWE,41,16,16,375,570,65.8,4355,29,11,255,272.2,21
8,Philip Rivers,LAC,37,16,16,347,508,68.3,4308,32,12,235,269.3,32
9,Eli Manning,NYG,37,16,16,380,576,66,4299,21,11,205,268.7,47
10,Kirk Cousins,MIN,30,16,16,425,606,70.1,4298,30,10,218,268.6,40
11,Deshaun Watson,HOU,23,16,16,345,505,68.3,4165,26,9,215,260.3,62
12,Derek Carr,OAK,27,16,16,381,553,68.9,4049,19,10,197,253.1,51
13,Drew Brees,NOR,39,15,15,364,489,74.4,3992,32,5,223,266.1,17
14,Case Keenum,DEN,30,16,16,365,586,62.3,3890,18,15,179,243.1,34
15,Dak Prescott,DAL,25,16,16,356,526,67.7,3885,22,8,206,242.8,56
16,Matthew Stafford,DET,30,16,16,367,555,66.1,3777,21,11,197,236.1,40
17,Baker Mayfield,CLE,23,14,13,310,486,63.8,3725,27,14,171,266.1,25
18,Russell Wilson,SEA,30,16,16,280,427,65.6,3448,35,7,162,215.5,51
19,Cam Newton,CAR,29,14,14,320,471,67.9,3395,24,13,180,242.5,29
20,Mitchell Trubisky,CHI,24,14,14,289,434,66.6,3223,24,12,163,230.2,24
21,Carson Wentz,PHI,26,11,11,279,401,69.6,3074,21,7,159,279.5,31
22,Jameis Winston,TAM,24,11,9,244,378,64.6,2992,19,14,152,272.0,27
23,Sam Darnold,NYJ,21,13,13,239,414,57.7,2865,17,15,130,220.4,30
24,Blake Bortles,JAX,26,13,12,243,403,60.3,2718,13,11,126,209.1,31
25,Andy Dalton,CIN,31,11,11,226,365,61.9,2566,21,11,132,233.3,21
26,Marcus Mariota,TEN,25,14,13,228,331,68.9,2528,11,8,121,180.6,42
27,Joe Flacco,BAL,33,9,9,232,379,61.2,2465,12,6,119,273.9,16
28,Ryan Fitzpatrick,TAM,36,8,7,164,246,66.7,2366,17,12,113,295.8,14
29,Josh Rosen,ARI,21,14,13,217,393,55.2,2278,11,14,112,162.7,45
30,Nick Mullens,SFO,23,8,8,176,274,64.2,2277,13,10,106,284.6,17
31,Alex Smith,WAS,34,10,10,205,328,62.5,2180,10,5,106,218.0,22
32,Josh Allen,BUF,22,12,11,169,320,52.8,2074,10,12,89,172.8,28
33,Ryan Tannehill,MIA,30,11,11,176,274,64.2,1979,17,9,92,179.9,35
34,Nick Foles,PHI,29,5,5,141,195,72.3,1413,7,4,87,282.6,9
35,C.J. Beathard,SFO,25,6,5,102,169,60.4,1252,8,7,60,208.7,18
36,Brock Osweiler,MIA,28,7,5,113,178,63.5,1247,6,4,58,178.1,17
37,Lamar Jackson,BAL,21,16,7,99,170,58.2,1201,6,3,67,75.1,16
38,Jeff Driskel,CIN,25,9,5,105,176,59.7,1003,6,2,50,111.4,16
39,Jimmy Garoppolo,SFO,27,3,3,53,89,59.6,718,5,3,35,239.3,13
40,Cody Kessler,JAX,25,5,4,85,131,64.9,709,2,2,35,141.8,22
41,Blaine Gabbert,TEN,29,8,3,61,101,60.4,626,4,4,32,78.3,5
42,Josh Johnson,WAS,32,4,3,52,91,57.1,590,3,4,29,147.5,9
43,Josh McCown,NYJ,39,4,3,60,110,54.5,539,1,4,27,134.8,7
44,Chase Daniel,CHI,32,5,2,53,76,69.7,515,3,2,23,103.0,9
45,Tyrod Taylor,CLE,29,4,3,42,85,49.4,473,2,2,17,118.3,13
46,Derek Anderson,BUF,35,2,2,42,70,60,465,0,4,22,232.5,5
47,Sam Bradford,ARI,31,3,3,50,80,62.5,400,2,4,16,133.3,6
48,Colt McCoy,WAS,32,3,2,34,54,63,372,3,3,17,124.0,6
49,Taylor Heinicke,CAR,25,6,1,35,57,61.4,320,1,3,19,53.3,2
50,Nathan Peterman,BUF,24,4,2,44,81,54.3,296,1,7,13,74.0,7
51,Kyle Allen,CAR,22,2,1,20,31,64.5,266,2,0,11,133.0,0
52,Matt Barkley,BUF,28,1,1,15,25,60,232,2,0,12,232.0,1
53,DeShone Kizer,GNB,22,3,0,20,42,47.6,187,0,2,8,62.3,4
54,Mike Glennon,ARI,29,2,0,15,21,71.4,174,1,0,8,87.0,1
55,Mark Sanchez,WAS,32,2,1,19,35,54.3,138,0,3,3,69.0,7
56,Teddy Bridgewater,NOR,26,5,1,14,23,60.9,118,1,1,8,23.6,2
57,Odell Beckham Jr.,NYG,26,12,12,2,2,100,106,2,0,2,8.8,0
58,Kevin Byard,TEN,25,16,16,1,1,100,66,1,0,1,4.1,0
59,Taysom Hill,NOR,28,16,4,3,7,42.9,64,0,1,3,4.0,1
60,Jarvis Landry,CLE,26,16,14,1,2,50,63,0,0,1,3.9,0
61,Matt Cassel,DET,36,2,0,7,17,41.2,59,0,1,2,29.5,1
62,Albert Wilson,MIA,26,7,3,1,1,100,52,1,0,1,7.4,0
63,Christian McCaffrey,CAR,22,16,16,1,1,100,50,1,0,1,3.1,0
64,Joshua Dobbs,PIT,23,5,0,6,12,50,43,0,1,2,8.6,0
65,Julian Edelman,NWE,32,12,12,2,2,100,43,0,0,1,3.6,0
66,Garrett Gilbert,CAR,27,1,0,2,3,66.7,40,0,0,1,40.0,1
67,Larry Fitzgerald,ARI,35,16,16,1,1,100,32,1,0,1,2.0,0
68,Chad Henne,KAN,33,1,0,2,3,66.7,29,0,0,2,29.0,0
69,Danny Amendola,MIA,33,15,15,1,1,100,28,1,0,1,1.9,0
70,Emmanuel Sanders,DEN,31,12,12,1,1,100,28,1,0,1,2.3,0
71,Sean Mannion,LAR,26,3,0,2,3,66.7,23,0,0,1,7.7,0
72,Nate Sudfeld,PHI,25,2,0,1,2,50,22,1,0,1,11.0,0
73,Robert Griffin III,BAL,28,3,0,2,6,33.3,21,0,0,1,7.0,0
74,Darius Jennings,TEN,26,16,0,1,1,100,21,0,0,1,1.3,0
75,Sam Koch,BAL,36,16,0,1,1,100,21,0,0,1,1.3,0
76,Matt Schaub,ATL,37,3,0,5,7,71.4,20,0,0,1,6.7,0
77,Johnny Hekker,LAR,28,16,0,2,4,50,19,0,0,3,1.2,0
78,Nelson Agholor,PHI,25,16,16,1,1,100,15,0,0,1,0.9,0
79,Logan Thomas,BUF,27,12,3,1,1,100,15,0,0,1,1.3,0
80,Derrick Henry,TEN,24,16,12,2,3,66.7,14,0,0,1,0.9,0
81,Colby Wadman,DEN,23,12,0,1,1,100,12,0,0,1,1.0,0
82,A.J. McCarron,OAK,28,2,0,1,3,33.3,8,0,0,0,4.0,1
83,Anthony Miller,CHI,24,15,4,1,1,100,8,0,0,1,0.5,0
84,Matt Prater,DET,34,16,0,1,1,100,8,1,0,1,0.5,0
85,Geno Smith,LAC,28,5,0,1,4,25,8,0,0,0,1.6,1
86,Brian Hoyer,NWE,33,5,0,1,2,50,7,0,0,0,1.4,0
87,Tress Way,WAS,28,16,0,1,1,100,7,0,0,1,0.4,0
88,Mohamed Sanu,ATL,29,16,16,1,2,50,5,1,0,1,0.3,0
89,Logan Cooke,JAX,23,16,0,1,1,100,4,0,0,1,0.3,0
90,Kenny Stills,MIA,26,15,15,1,1,100,3,1,0,1,0.2,0
91,Chris Boswell,PIT,27,15,0,1,1,100,2,1,0,1,0.1,0
92,Jacoby Brissett,IND,26,4,0,2,4,50,2,0,0,1,0.5,0
93,Tarik Cohen,CHI,23,16,7,1,1,100,1,1,0,1,0.1,0
94,Bryan Anger,TAM,30,16,0,0,1,0,0,0,0,0,0.0,0
95,Cole Beasley,DAL,29,16,4,0,1,0,0,0,0,0,0.0,0
96,Corey Bojorquez,BUF,22,8,0,0,1,0,0,0,0,0,0.0,0
97,Tyler Boyd,CIN,24,14,14,0,1,0,0,0,0,0,0.0,0
98,Antonio Brown,PIT,30,15,15,0,1,0,0,0,0,0,0.0,0
99,Eric Ebron,IND,25,16,8,0,1,0,0,0,0,0,0.0,0
100,Bruce Ellington,2TM,27,7,3,0,1,0,0,0,0,0,0.0,0
101,Dontrell Hilliard,CLE,23,11,0,0,1,0,0,0,1,0,0.0,0
102,DeAndre Hopkins,HOU,26,16,16,0,1,0,0,0,0,0,0.0,0
103,Zay Jones,BUF,23,16,15,0,1,0,0,0,0,0,0.0,0
