NAME,TD1,TD2,TD3,TD4,TOTAL_TD
Tom Brady,36,28,32,29,125
Drew Brees,32,37,23,32,124
Russell Wilson,34,21,34,35,124
Philip Rivers,29,33,28,32,122
Matt Ryan,21,38,20,35,114
Aaron Rodgers,31,40,16,25,112
Ben Roethlisberger,21,29,28,34,112
Kirk Cousins,29,25,27,30,111
Matthew Stafford,32,24,29,21,106
Derek Carr,32,28,22,19,101
Eli Manning,35,26,19,21,101
Cam Newton,35,19,22,24,100
Blake Bortles,35,23,21,13,92
Andy Dalton,25,18,25,21,89
Jameis Winston,22,28,19,19,88
Andrew Luck,15,31,0,39,85
Alex Smith,20,15,26,10,71
Carson Palmer,35,26,9,0,70
Carson Wentz,0,16,33,21,70
Marcus Mariota,19,26,13,11,69
Dak Prescott,0,23,22,22,67
Ryan Fitzpatrick,31,12,7,17,67
Jared Goff,0,5,28,32,65
Joe Flacco,14,20,18,12,64
Ryan Tannehill,24,19,0,17,60
Case Keenum,4,9,22,18,53
Tyrod Taylor,20,17,14,2,53
Jay Cutler,21,4,19,0,44
Sam Bradford,19,20,3,2,44
Josh McCown,12,6,18,1,37
Brock Osweiler,10,15,5,6,36
Trevor Siemian,0,18,12,0,30
Brian Hoyer,19,6,4,0,29
Blaine Gabbert,10,5,6,4,25
Nick Foles,7,3,5,7,22
Deshaun Watson,0,0,19,0,19
Jimmy Garoppolo,0,4,7,5,16
Teddy Bridgewater,14,0,0,1,15
Jacoby Brissett,0,0,13,0,13
Matt Moore,0,8,4,0,12
DeShone Kizer,0,0,11,0,11
Brett Hundley,0,0,9,0,9
Matt Hasselbeck,9,0,0,0,9
Peyton Manning,9,0,0,0,9
Cody Kessler,0,6,0,2,8
Drew Stanton,0,2,6,0,8
Landry Jones,3,4,1,0,8
Matt Cassel,5,2,1,0,8
Johnny Manziel,7,0,0,0,7
Mitchell Trubisky,0,0,7,0,7
Ryan Mallett,5,0,2,0,7
T.J. Yates,3,0,4,0,7
A.J. McCarron,6,0,0,0,6
Colin Kaepernick,6,0,0,0,6
Mike Glennon,0,1,4,1,6
Brandon Weeden,5,0,0,0,5
Tom Savage,0,0,5,0,5
Tony Romo,5,0,0,0,5
Bryce Petty,0,3,1,0,4
C.J. Beathard,0,0,4,0,4
Colt McCoy,1,0,0,3,4
EJ Manuel,3,0,1,0,4
Geno Smith,2,1,1,0,4
Kellen Moore,4,0,0,0,4
Kevin Hogan,0,0,4,0,4
Mark Sanchez,4,0,0,0,4
Paxton Lynch,0,2,2,0,4
Zach Mettenberger,4,0,0,0,4
Chase Daniel,0,0,0,3,3
Matt Schaub,3,0,0,0,3
Derek Anderson,0,2,0,0,2
Jimmy Clausen,2,0,0,0,2
Matt McGloin,2,0,0,0,2
Michael Vick,2,0,0,0,2
Nathan Peterman,0,0,2,0,2
Alex Tanney,1,0,0,0,1
Antonio Andrews,1,0,0,0,1
Austin Davis,1,0,0,0,1
Cecil Shorts,1,0,0,0,1
Dan Orlovsky,1,0,0,0,1
Danny Amendola,0,0,0,1,1
David Fales,0,0,1,0,1
Josh Freeman,1,0,0,0,1
Kellen Clemens,1,0,0,0,1
Larry Fitzgerald,0,0,0,1,1
Marqise Lee,0,1,0,0,1
Mohamed Sanu,0,0,1,0,1
Pat O'Donnell,0,0,1,0,1
Ryan Lindley,1,0,0,0,1
Ryan Nassib,1,0,0,0,1
Scott Tolzien,0,1,0,0,1
Tarik Cohen,0,0,1,0,1
B.J. Daniels,0,0,0,0,0
Brad Nortman,0,0,0,0,0
Bryan Walters,0,0,0,0,0
Cairo Santos,0,0,0,0,0
Chad Henne,0,0,0,0,0
Charlie Whitehurst,0,0,0,0,0
Chris Hogan,0,0,0,0,0
Cooper Kupp,0,0,0,0,0
Cooper Rush,0,0,0,0,0
Darren McFadden,0,0,0,0,0
Eric Decker,0,0,0,0,0
Jake Rudock,0,0,0,0,0
Jamison Crowder,0,0,0,0,0
Jarvis Landry,0,0,0,0,0
Joe Callahan,0,0,0,0,0
Joe Webb,0,0,0,0,0
Johnny Hekker,0,0,0,0,0
Jon Ryan,0,0,0,0,0
Jonathan Grimes,0,0,0,0,0
Lac Edwards,0,0,0,0,0
Luke McCown,0,0,0,0,0
MarQueis Gray,0,0,0,0,0
Matt Haack,0,0,0,0,0
Michael Palardy,0,0,0,0,0
Nate Sudfeld,0,0,0,0,0
Patrick Mahomes,0,0,0,0,0
Randall Cobb,0,0,0,0,0
Robert Golden,0,0,0,0,0
Ryan Quigley,0,0,0,0,0
Sam Koch,0,0,0,0,0
Sean Mannion,0,0,0,0,0
Sean Renfree,0,0,0,0,0
Shane Vereen,0,0,0,0,0
Shaun Hill,0,0,0,0,0
Tanner McEvoy,0,0,0,0,0
Tarvaris Jackson,0,0,0,0,0
Taylor Heinicke,0,0,0,0,0
Travaris Cadet,0,0,0,0,0
Travis Kelce,0,0,0,0,0
Tyler Bray,0,0,0,0,0
Tyreek Hill,0,0,0,0,0
