Rk,Player,Tm,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,1D,Y/G,Sk
1,Drew Brees,NOR,32,16,16,468,657,71.2,5476,46,14,279,342.3,24
2,Tom Brady,NWE,34,16,16,401,611,65.6,5235,39,12,262,327.2,32
3,Matthew Stafford,DET,23,16,16,421,663,63.5,5038,41,16,243,314.9,36
4,Eli Manning,NYG,30,16,16,359,589,61,4933,29,16,218,308.3,28
5,Aaron Rodgers,GNB,28,15,15,343,502,68.3,4643,45,6,209,309.5,36
6,Philip Rivers,SDG,30,16,16,366,582,62.9,4624,27,20,234,289,30
7,Tony Romo,DAL,31,16,16,346,522,66.3,4184,31,10,203,261.5,36
8,Matt Ryan,ATL,26,16,16,347,566,61.3,4177,29,12,208,261.1,26
9,Ben Roethlisberger,PIT,29,15,15,324,513,63.2,4077,21,14,210,271.8,40
10,Cam Newton,CAR,22,16,16,310,517,60,4051,21,17,176,253.2,35
11,Ryan Fitzpatrick,BUF,29,16,16,353,569,62,3832,24,23,179,239.5,22
12,Joe Flacco,BAL,26,16,16,312,542,57.6,3610,20,12,180,225.6,31
13,Josh Freeman,TAM,23,15,15,346,551,62.8,3592,16,22,170,239.5,29
14,Matt Hasselbeck,TEN,36,16,16,319,518,61.6,3571,18,14,163,223.2,19
15,Mark Sanchez,NYJ,25,16,16,308,543,56.7,3474,26,18,172,217.1,39
16,Andy Dalton,CIN,24,16,16,300,516,58.1,3398,20,13,151,212.4,24
17,Michael Vick,PHI,31,13,13,253,423,59.8,3303,18,14,154,254.1,23
18,Rex Grossman,WAS,31,13,13,265,458,57.9,3151,16,20,161,242.4,25
19,Alex Smith,SFO,27,16,16,273,445,61.3,3144,17,5,145,196.5,44
20,Tarvaris Jackson,SEA,28,15,14,271,450,60.2,3091,14,13,139,206.1,42
21,Carson Palmer,OAK,32,10,9,199,328,60.7,2753,13,16,123,275.3,17
22,Colt McCoy,CLE,25,13,13,265,463,57.2,2733,14,11,142,210.2,32
23,Matt Moore,MIA,27,13,12,210,347,60.5,2497,16,9,122,192.1,36
24,Matt Schaub,HOU,30,10,10,178,292,61,2479,15,6,118,247.9,16
25,Jay Cutler,CHI,28,10,10,182,314,58,2319,13,7,107,231.9,23
26,Blaine Gabbert,JAX,22,15,14,210,413,50.8,2214,12,11,111,147.6,40
27,Sam Bradford,STL,24,10,10,191,357,53.5,2164,6,6,104,216.4,36
28,Kevin Kolb,ARI,27,9,9,146,253,57.7,1955,9,8,87,217.2,30
29,John Skelton,ARI,23,8,7,151,275,54.9,1913,11,14,81,239.1,23
30,Christian Ponder,MIN,23,11,10,158,291,54.3,1853,13,13,92,168.5,30
31,Kyle Orton,2TM,29,9,8,150,252,59.5,1758,9,9,0,195.3,10
32,Tim Tebow,DEN,24,14,11,126,271,46.5,1729,12,6,77,123.5,33
33,Matt Cassel,KAN,29,9,9,160,269,59.5,1713,10,9,84,190.3,22
34,Curtis Painter,IND,26,9,8,132,243,54.3,1541,6,9,71,171.2,16
35,Dan Orlovsky,IND,28,8,5,122,193,63.2,1201,6,4,71,150.1,14
36,Jason Campbell,OAK,30,6,6,100,165,60.6,1170,6,4,56,195,5
37,Donovan McNabb,MIN,35,6,6,94,156,60.3,1026,4,2,52,171,16
38,T.J. Yates,HOU,24,6, ,82,134,61.2,949,3,3,48,158.2,15
39,Chad Henne,MIA,26,4,4,64,112,57.1,868,4,4,41,217,11
40,Vince Young,PHI,28,6,3,66,114,57.9,866,4,9,39,144.3,8
41,John Beck,WAS,30,4,3,80,132,60.6,858,2,4,44,214.5,16
42,Tyler Palko,KAN,28,6,4,80,134,59.7,796,2,7,40,132.7,11
43,Caleb Hanie,CHI,26,6,4,51,102,50,613,3,9,29,102.2,19
44,Seneca Wallace,CLE,31,6,3,55,107,51.4,567,2,2,29,94.5,6
45,A.J. Feeley,STL,34,5,3,53,97,54.6,548,1,2,27,109.6,10
46,Kellen Clemens,STL,28,3,3,48,91,52.7,546,2,1,30,182,9
47,Jake Locker,TEN,23,5,0,34,66,51.5,542,4,0,22,108.4,5
48,Matt Flynn,GNB,26,5,1,33,49,67.3,518,6,2,22,103.6,5
49,Kerry Collins,IND,39,3,3,48,98,49,481,2,1,29,160.3,5
50,Josh McCown,CHI,32,3,2,35,55,63.6,414,2,4,18,138,7
51,Joe Webb,MIN,25,11,1,34,63,54,376,3,2,17,34.2,3
52,Charlie Whitehurst,SEA,29,3,2,27,56,48.2,298,1,1,14,99.3,8
53,Luke McCown,JAX,30,4,2,30,56,53.6,296,0,4,13,74,4
54,Josh Johnson,TAM,25,9,1,19,36,52.8,246,1,2,12,27.3,3
55,Jake Delhomme,HOU,36,1,0,18,28,64.3,211,1,0,9,211,2
56,Charlie Batch,PIT,37,4,1,15,24,62.5,208,0,1,9,52,2
57,Chris Redman,ATL,34,5,0,18,28,64.3,188,0,1,9,37.6,0
58,Stephen McGee,DAL,26,1,0,24,38,63.2,182,1,0,11,182,3
59,Kyle Boller,OAK,30,2,1,15,28,53.6,161,0,3,7,80.5,3
60,Bruce Gradkowski,CIN,28,2,0,8,18,44.4,109,1,1,4,54.5,1
61,Mike Kafka,PHI,24,4,0,11,16,68.8,107,0,2,3,26.8,1
62,Jon Kitna,DAL,39,3,0,6,10,60,87,1,2,4,29,0
63,Richard Bartel,ARI,28,2,0,10,22,45.5,86,1,1,5,43,1
64,J.P. Losman,MIA,30,2,0,6,10,60,60,0,0,3,30,5
