Rk,Player,Tm,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,1D,Y/G,Sk
1,Drew Brees,NOR,37,16,16,471,673,70,5208,37,15,265,325.5,27
2,Matt Ryan,ATL,31,16,16,373,534,69.9,4944,38,7,240,309.0,37
3,Kirk Cousins,WAS,28,16,16,406,606,67,4917,25,12,227,307.3,23
4,Aaron Rodgers,GNB,33,16,16,401,610,65.7,4428,40,7,226,276.8,35
5,Philip Rivers,SDG,35,16,16,349,578,60.4,4386,33,21,215,274.1,36
6,Matthew Stafford,DET,28,16,16,388,594,65.3,4327,24,10,218,270.4,37
7,Joe Flacco,BAL,31,16,16,436,672,64.9,4317,20,15,204,269.8,33
8,Andrew Luck,IND,27,15,15,346,545,63.5,4240,31,13,206,282.7,41
9,Carson Palmer,ARI,37,15,15,364,597,61,4233,26,14,220,282.2,40
10,Russell Wilson,SEA,28,16,16,353,546,64.7,4219,21,11,193,263.7,41
11,Andy Dalton,CIN,29,16,16,364,563,64.7,4206,18,8,206,262.9,41
12,Jameis Winston,TAM,22,16,16,345,567,60.8,4090,28,18,216,255.6,35
13,Eli Manning,NYG,35,16,16,377,598,63,4027,26,16,191,251.7,21
14,Derek Carr,OAK,25,15,15,357,560,63.8,3937,28,6,191,262.5,16
15,Blake Bortles,JAX,24,16,16,368,625,58.9,3905,23,16,207,244.1,34
16,Sam Bradford,MIN,29,15,15,395,552,71.6,3877,20,5,199,258.5,37
17,Ben Roethlisberger,PIT,34,14,14,328,509,64.4,3819,29,13,184,272.8,17
18,Carson Wentz,PHI,24,16,16,379,607,62.4,3782,16,14,192,236.4,33
19,Dak Prescott,DAL,23,16,16,311,459,67.8,3667,23,4,185,229.2,25
20,Tom Brady,NWE,39,12,12,291,432,67.4,3554,28,2,165,296.2,15
21,Cam Newton,CAR,27,15,14,270,510,52.9,3509,19,14,173,233.9,36
22,Alex Smith,KAN,32,15,15,328,489,67.1,3502,15,8,182,233.5,28
23,Marcus Mariota,TEN,23,15,15,276,451,61.2,3426,26,9,157,228.4,23
24,Trevor Siemian,DEN,25,14,14,289,486,59.5,3401,18,10,155,242.9,31
25,Tyrod Taylor,BUF,27,15,15,269,436,61.7,3023,17,6,148,201.5,42
26,Ryan Tannehill,MIA,28,13,13,261,389,67.1,2995,19,12,134,230.4,29
27,Brock Osweiler,HOU,26,15,14,301,510,59,2957,15,16,154,197.1,27
28,Ryan Fitzpatrick,NYJ,34,14,11,228,403,56.6,2710,12,17,130,193.6,19
29,Colin Kaepernick,SFO,29,12,11,196,331,59.2,2241,16,4,101,186.8,36
30,Case Keenum,LAR,28,10,9,196,322,60.9,2201,9,11,103,220.1,23
31,Matt Barkley,CHI,26,7,6,129,216,59.7,1611,8,14,90,230.1,6
32,Brian Hoyer,CHI,31,6,5,134,200,67,1445,6,0,75,240.8,4
33,Cody Kessler,CLE,23,9,8,128,195,65.6,1380,6,2,69,153.3,21
34,Josh McCown,CLE,37,5,3,90,165,54.5,1100,6,6,56,220.0,18
35,Jared Goff,LAR,22,7,7,112,205,54.6,1089,5,7,48,155.6,26
36,Jay Cutler,CHI,33,5,5,81,137,59.1,1059,4,5,45,211.8,17
37,Blaine Gabbert,SFO,27,6,5,91,160,56.9,925,5,6,50,154.2,11
38,Robert Griffin III,CLE,26,5,5,87,147,59.2,886,2,3,43,177.2,22
39,Bryce Petty,NYJ,25,6,4,75,133,56.4,809,3,7,35,134.8,13
40,Matt Moore,MIA,32,4,3,55,87,63.2,721,8,3,35,180.3,1
41,Landry Jones,PIT,27,8,2,53,86,61.6,558,4,2,27,69.8,4
42,Jimmy Garoppolo,NWE,25,6,2,43,63,68.3,502,4,0,22,83.7,3
43,Paxton Lynch,DEN,22,3,2,49,83,59,497,2,1,25,165.7,9
44,Tom Savage,HOU,26,3,2,46,73,63,461,0,0,20,153.7,5
45,Derek Anderson,CAR,33,5,2,36,53,67.9,453,2,5,22,90.6,0
46,Nick Foles,KAN,27,3,1,36,55,65.5,410,3,0,15,136.7,4
47,Jacoby Brissett,NWE,24,3,2,34,55,61.8,400,0,0,18,133.3,6
48,Matt Cassel,TEN,34,4,1,30,51,58.8,284,2,2,16,71.0,5
49,Shaun Hill,MIN,36,3,1,19,35,54.3,242,0,0,12,80.7,1
50,Scott Tolzien,IND,29,3,1,23,37,62.2,216,1,2,13,72.0,3
51,Drew Stanton,ARI,32,5,1,19,48,39.6,192,2,3,11,38.4,1
52,Charlie Whitehurst,CLE,34,1,0,14,24,58.3,182,1,1,8,182.0,2
53,Connor Cook,OAK,23,1,0,14,21,66.7,150,1,1,6,150.0,2
54,Trevone Boykin,SEA,23,5,0,13,18,72.2,145,1,1,8,29.0,1
55,EJ Manuel,BUF,26,6,1,11,26,42.3,131,0,0,6,21.8,3
56,Geno Smith,NYJ,26,2,1,8,14,57.1,126,1,1,3,63.0,3
57,Kevin Hogan,CLE,24,4,0,14,26,53.8,104,0,2,6,26.0,2
58,Cardale Jones,BUF,24,1,0,6,11,54.5,96,0,1,2,96.0,1
59,Mark Sanchez,DAL,30,2,0,10,18,55.6,93,0,2,5,46.5,3
60,Mike Glennon,TAM,27,2,0,10,11,90.9,75,1,0,6,37.5,0
61,Matt McGloin,OAK,27,3,1,8,15,53.3,50,0,0,3,16.7,0
62,Willie Snead,NOR,24,15,4,1,1,100,50,1,0,1,3.3,0
63,Tanner McEvoy,SEA,23,14,0,1,1,100,43,0,0,1,3.1,0
64,Terrelle Pryor,CLE,27,16,15,5,9,55.6,41,0,0,1,2.6,1
65,Pat McAfee,IND,29,16,0,1,1,100,35,0,0,1,2.2,0
66,Tress Way,WAS,26,16,0,1,1,100,31,0,0,1,1.9,0
67,Tony Romo,DAL,36,1,0,3,4,75,29,1,0,3,29.0,0
68,Ryan Mallett,BAL,28,4,0,3,6,50,26,0,1,1,6.5,0
69,David Fales,CHI,26,1,0,2,5,40,22,0,0,2,22.0,1
70,Marqise Lee,JAX,25,16,6,1,1,100,20,1,0,1,1.3,0
71,Sean Mannion,LAR,24,1,0,3,6,50,19,0,1,1,19.0,0
72,Brett Hundley,GNB,23,4,0,2,10,20,17,0,1,0,4.3,0
73,Chase Daniel,PHI,30,1,0,1,1,100,16,0,0,1,16.0,0
74,Riley Dixon,DEN,23,16,0,1,1,100,16,0,0,1,1.0,0
75,Matt Schaub,ATL,35,4,0,1,3,33.3,16,0,0,1,4.0,0
76,Doug Baldwin,SEA,28,16,15,1,1,100,15,1,0,1,0.9,0
77,Dez Bryant,DAL,28,13,13,1,1,100,10,1,0,1,0.8,0
78,DeMarco Murray,TEN,28,16,16,1,2,50,10,1,0,1,0.6,0
79,Johnny Hekker,LAR,26,16,0,1,2,50,4,0,0,1,0.3,0
80,Cameron Meredith,CHI,24,14,10,1,1,100,2,1,0,1,0.1,0
81,Dontari Poe,KAN,26,16,16,1,1,100,2,1,0,1,0.1,0
82,Cole Beasley,DAL,27,16,6,0,1,0,0,0,0,0,0.0,0
83,Le'Veon Bell,PIT,24,12,12,0,1,0,0,0,0,0,0.0,0
84,Travis Benjamin,SDG,27,14,8,0,1,0,0,0,0,0,0.0,0
85,Kellen Clemens,SDG,33,12,0,0,1,0,0,0,0,0,0.0,0
86,Pharoh Cooper,LAR,21,10,3,0,1,0,0,0,1,0,0.0,0
87,Larry Fitzgerald,ARI,33,16,16,0,1,0,0,0,0,0,0.0,0
88,Josh Huff,2TM,25,10,2,0,1,0,0,0,0,0,0.0,0
89,Duke Johnson,CLE,23,16,1,0,1,0,0,0,0,0,0.0,0
90,Jarvis Landry,MIA,24,16,16,0,1,0,0,0,0,0,0.0,0
91,Jeremy Maclin,KAN,28,12,12,0,1,0,0,0,0,0,0.0,0
92,Jerick McKinnon,MIN,24,15,7,0,1,0,0,0,0,0,0.0,0
93,Antonio Morrison,IND,22,16,4,0,1,0,0,0,0,0,0.0,0
94,Jon Ryan,SEA,35,16,0,0,1,0,0,0,0,0,0.0,0
95,Justin Tucker,BAL,27,16,0,0,1,0,0,0,0,0,0.0,0
96,Jonathan Williams,BUF,22,11,0,0,1,0,0,0,0,0,0.0,0
