Rk,Player,Tm,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,1D,Y/G,Sk
1,Deshaun Watson,HOU,25,16,16,382,544,70.2,4823,33,7,221,301.4,49
2,Patrick Mahomes,KAN,25,15,15,390,588,66.3,4740,38,6,238,316,22
3,Tom Brady,TAM,43,16,16,401,610,65.7,4633,40,12,233,289.6,21
4,Matt Ryan,ATL,35,16,16,407,626,65,4581,26,11,242,286.3,41
5,Josh Allen,BUF,24,16,16,396,572,69.2,4544,37,10,228,284,26
6,Justin Herbert,LAC,22,15,15,396,595,66.6,4336,31,10,216,289.1,32
7,Aaron Rodgers,GNB,37,16,16,372,526,70.7,4299,48,5,216,268.7,20
8,Kirk Cousins,MIN,32,16,16,349,516,67.6,4265,35,13,212,266.6,39
9,Russell Wilson,SEA,32,16,16,384,558,68.8,4212,40,13,213,263.3,47
10,Philip Rivers,IND,39,16,16,369,543,68,4169,24,11,200,260.6,19
11,Derek Carr,LVR,29,16,16,348,517,67.3,4103,27,9,193,256.4,26
12,Matthew Stafford,DET,32,16,16,339,528,64.2,4084,26,10,205,255.3,38
13,Kyler Murray,ARI,23,16,16,375,558,67.2,3971,26,12,205,248.2,27
14,Jared Goff,LAR,26,15,15,370,552,67,3952,20,13,194,263.5,23
15,Ryan Tannehill,TEN,32,16,16,315,481,65.5,3819,33,7,202,238.7,24
16,Ben Roethlisberger,PIT,38,15,15,399,608,65.6,3803,33,10,193,253.5,13
17,Teddy Bridgewater,CAR,28,15,15,340,492,69.1,3733,15,11,174,248.9,31
18,Baker Mayfield,CLE,25,16,16,305,486,62.8,3563,26,8,188,222.7,26
19,Daniel Jones,NYG,23,14,14,280,448,62.5,2943,11,10,158,210.2,45
20,Drew Brees,NOR,41,12,12,275,390,70.5,2942,24,6,149,245.2,13
21,Drew Lock,DEN,24,13,13,254,443,57.3,2933,16,15,145,225.6,19
22,Lamar Jackson,BAL,23,15,15,242,376,64.4,2757,26,9,138,183.8,29
23,Joe Burrow,CIN,24,10,10,264,404,65.3,2688,13,5,150,268.8,32
24,Cam Newton,NWE,31,15,15,242,368,65.8,2657,8,10,133,177.1,31
25,Carson Wentz,PHI,28,12,12,251,437,57.4,2620,16,15,130,218.3,50
26,Nick Mullens,SFO,25,10,8,211,326,64.7,2437,12,12,120,243.7,19
27,Gardner Minshew II,JAX,24,9,8,216,327,66.1,2259,16,5,117,251,27
28,Sam Darnold,NYJ,23,12,12,217,364,59.6,2208,9,11,109,184,35
29,Andy Dalton,DAL,33,11,9,216,333,64.9,2170,14,8,116,197.3,24
